Movie Title,Director,Date of Release,Genre (1),Genre (2),Genre (3),Rotten Tomatoes,Cast Member (1),Cast Member (2),Cast Member (3),Streaming Service (1), Streaming Service (2),Franchise?,Suggested Movie
Interstellar,Christopher Nolan,10.26.2014,Science Fiction,Action,Mystery,73%,Matthew McConaughey,Jessica Chastain,Anne Hathaway,Paramount+,Prime Video,No,2001: A Space Odyssey
Gurdians of the Galaxy,James Gunn,08.01.2014,Action,Science Fiction,Comedy,92%,Chris Pratt,Zoe Saldana,Vin Diesel,Disney+,Prime Video,Yes,Avengers: Infinity War
Avatar,James Cameron,12.18.2009,Science Fiction,Action,Drama,81%,Zoe Saldana,Sam Worthington,Sigourney Weaver,Disney+,Prime Video,Yes,Dune
Pirates of the Caribbean,Gore Verbinski,07.09.2003,Action,Horror,Fantasy,80%,Johnny Depp,Keira Knightley,Orlando Bloom,Disney+,Prime Video,Yes,Hook
Dune,Denis Villeneuve,10.22.2021,Science Fiction,Novel,Conspiracy Fiction,83%,Timothée Chalamet,Zendaya,Rebecca Ferguson,Max,Hulu,Yes,Blade Runner 2049
Twisters,Lee Isaac Chung,07.19.2024,Action,Disaster,Thriller,75%,Glenn Powell,Daisy Edgar Jones,Anthony Ramos,Apple TV,Prime Video,No,Twister
The Fall Guy,David Leitch,05.03.2025,Action,Comedy,Thriller,81%,Ryan Gosling,Emily Blunt,Hannah Waddingham,Peacock,Apple TV,No,The Nice Guys
Challengers,Luca Guadagnino,04.26.2024,Drama,Romance,Sports,88%,Zendaya,Mike Faist,Josh O'Connor,Prime Video,MGM+,No,Call Me By Your Name
Inception,Christopher Nolan,07.13.2010,Action,Heist,Science Fiction,87%,Leonardo DiCaprio,Cillian Murphy,Joseph Gordon-Levitt,Prime Video,Apple TV,No,Shutter Island
Arrival,Denis Villeneuve,09.02.2016,Science Fiction,Thriller,Drama,94%,Jeremy Renner,Amy Adams,Forest Whitaker,Prime Video,Apple TV,No,Ad Astra
Gran Turismo,Neill Blomkamp,08.25.23,Action,Sports,Drama,65%,Archie Madekwe,Orlando Bloom,David Harbour,Netflix,Apple TV,No,Ford v Ferrari
